,person_phrase,label,tknz_lem_stopw_text
0,мой папа отрицает сказки и всякие там чудеса. ,Витя,"[['папа', 'отрицать', 'сказка', 'всякий', 'чудо']]"
1,"а мой папа, между прочим, кандидат технических наук, и в настоящее время мы с ним работаем над одним изобретением. ",Витя,"[['папа', 'прочее', 'кандидат', 'технический', 'наука', 'настоящий', 'время', 'работать', 'изобретение']]"
2,"подажди ты со своим изобретением, профессор. неужели вы все очкарики, лишены воображения? ",Маша,"[['подажди', 'свой', 'изобретение', 'профессор'], ['неужели', 'весь', 'очкарик', 'лишать', 'воображение']]"
3,"эники беники, метелки, финики. здравствуй, дедушка Мороз. ",Маша,"[['эник', 'беник', 'метелка', 'финик'], ['здравствовать', 'дедушка', 'мороз']]"
4,"пошли. ну, пожалуйста, ",Маша,"[['пойти'], ['пожалуйста']]"
5,Знакомься. Вот тебе настоящий волшебный Дед Мороз. ,Маша,"[['знакомиться'], ['настоящий', 'волшебный', 'дед', 'мороз']]"
6,"Очень приятно. Витя, вы из какого театра? ",Витя,"[['очень', 'приятно'], ['витя', 'театр']]"
7,Можно я его стукну? ,Маша,[['стукнуть']]
8,"Маша утверждает, что вы настоящий волшебный дед Мороз. В таком случае вам полагается настоящая волшебная снегурочка. Где она? ",Витя,"[['маша', 'утверждать', 'настоящий', 'волшебный', 'дед', 'мороз'], ['случай', 'полагаться', 'настоящий', 'волшебный', 'снегурочка'], []]"
9,"Как же быть? дедушка мороз, надо снегурочке помочь. ",Маша,"[[], ['дедушка', 'мороз', 'снегурочка', 'помогать']]"
10,да и нам нельзя без нового года. ,Маша,"[['новый', 'год']]"
11,я проберусь. я помогу снегурочке. ,Маша,"[['пробираться'], ['помогать', 'снегурочка']]"
12,"простите, не могли бы ммм меня тоже ммм в сказку ",Витя,"[['прощать', 'мочь', 'ммм', 'ммм', 'сказка']]"
13,еще чего,то? как баба,[[]]
14,"знаете, мне мама говорит, что девочек надо всегда защищать. ",Витя,"[['знать', 'мама', 'говорить', 'девочка', 'защищать']]"
15,"и хотя я прекрасно понимаю, что никакой бабы","яги нет, и это только одно малонаучное воображение, но все же. ммм ","[['хотя', 'прекрасно', 'понимать', 'никакой', 'баба']]"
16,как красиво. ,Маша,[['красиво']]
17,ничего особенного ,Витя,"[['ничто', 'особенный']]"
18,"нет, особенно ",Маша.,[['особенно']]
19,подумаешь ,"Витя,",[['подумать']]
20,пошли ,Маша.,[['пойти']]
21,"раз мы в волшебном лесу, значит, ты должен меня слушаться. ",Маша,"[['волшебный', 'лес', 'значит', 'должный', 'слушаться']]"
22,перестань воображать. ,Витя,"[['переставать', 'воображать']]"
23,"витя, витя, смотри, сказочная избушка ",Маша,"[['витя', 'витя', 'смотреть', 'сказочный', 'избушка']]"
24,не может быть. ,Витя,[['мочь']]
25,"тупик нечистой силы, тринадцать.  ",Витя,"[['тупик', 'нечистый', 'сила', 'тринадцать']]"
